Sample,UID,Session,d45,d46,d47,d48,d49
ETH-4,75,2019-05a,-5.5,-4.973,-10.921,-10.109,-70.757
ETH-1,76,2019-05a,6.561,11.86,17.939,23.074,-17.488
ETH-2,77,2019-05a,-5.396,-4.776,-10.79,-10.07,-32.002
ETH-3,78,2019-05a,6.279,12.345,18.442,24.385,6.538
ETH-4,79,2019-05a,-5.496,-4.944,-10.873,-10.434,-42.01
ETH-1,80,2019-05a,6.529,11.859,17.887,22.817,-53.546
ETH-1,81,2019-05a,6.557,11.861,17.931,23.059,-84.695
ETH-2,82,2019-05a,-5.42,-4.836,-10.851,-10.217,-85.781
ETH-3,83,2019-05a,6.282,12.385,18.481,24.409,-12.864
ETH-4,84,2019-05a,-5.505,-4.961,-10.858,-10.481,-64.377
CA5_05,85,2019-05a,4.202,6.198,10.206,11.505,-52.747
CA5_05,86,2019-05a,4.033,6.226,10.083,12.067,-16.773
CA5_05,87,2019-05a,4.02,6.178,10.02,11.945,6.502
ETH-1,88,2019-05a,6.559,11.892,17.956,23.265,-21.503
ETH-2,89,2019-05a,-5.399,-4.836,-10.817,-9.713,7.571
ETH-3,90,2019-05a,6.29,12.402,18.487,24.355,-9.014
ETH-4,91,2019-05a,-5.537,-5.035,-11.052,-11.214,-128.175
ETH-1,92,2019-05a,6.56,11.872,18.01,23.682,60.572
ETH-2,93,2019-05a,-5.404,-4.809,-10.835,-9.901,0.781
ETH-3,94,2019-05a,6.284,12.371,18.46,24.448,18.687
ETH-4,95,2019-05a,-5.504,-4.956,-10.906,-10.496,-38.372
CA5_05,96,2019-05a,3.531,5.821,9.179,11.264,-4.065
CA5_05,97,2019-05a,3.738,5.991,9.533,11.411,13.835
CA5_05,98,2019-05a,3.87,6.065,9.746,11.362,-31.659
CA5_05,99,2019-05a,3.825,6.091,9.736,11.817,19.082
ETH-1,100,2019-05a,6.552,11.864,17.917,23.269,19.212
ETH-2,101,2019-05a,-5.434,-4.898,-10.965,-10.426,-94.253
ETH-3,102,2019-05a,6.294,12.433,18.574,24.696,36.705
ETH-4,103,2019-05a,-5.513,-5.012,-10.95,-10.406,-11.929
CA50,104,2019-05a,4.759,-3.095,1.551,-6.428,5.247
CA50,105,2019-05a,5.157,-2.849,2.163,-6.319,-37.504
CA50,106,2019-05a,4.521,-3.207,1.19,-6.526,71.821
CA50,107,2019-05a,4.695,-3.202,1.353,-7.003,-39.978
CA50,108,2019-05a,4.933,-2.965,1.85,-6.025,38.896
ETH-1,109,2019-05a,6.547,11.81,17.83,23.024,-6.349
ETH-3,110,2019-05a,6.312,12.42,18.587,24.983,114.278
ETH-4,111,2019-05a,-5.517,-4.985,-10.95,-10.346,-42.636
CA5_05,112,2019-05a,3.845,6.134,9.795,11.854,43.519
CA5_05,113,2019-05a,3.89,6.155,9.909,12.001,83.479
CA5_05,114,2019-05a,3.971,6.15,9.967,12.132,24.852
ETH-1,115,2019-05a,6.554,11.907,17.982,23.314,2.653
CA5_05,116,2019-05a,3.886,6.171,9.901,12.365,13.502
ETH-2,117,2019-05a,-5.428,-4.837,-10.875,-10.238,-96.474
ETH-3,118,2019-05a,6.29,12.411,18.581,25.11,70.448
ETH-4,119,2019-05a,-5.502,-4.964,-10.894,-10.337,-71.257
CA5_05,120,2019-05a,4.207,6.284,10.334,12.035,-42.992
CA5_05,121,2019-05a,3.875,6.204,9.87,11.777,-73.656
CA5_05,122,2019-05a,3.781,6.136,9.748,11.83,-35.757
CA5_05,123,2019-05a,3.521,5.891,9.204,11.169,-37.845
CA5_05,124,2019-05a,3.628,5.98,9.432,11.598,-39.584
ETH-1,125,2019-05a,6.562,11.927,17.966,23.357,-31.863
ETH-2,126,2019-05a,-5.448,-4.907,-11.015,-10.533,-88.14
ETH-3,127,2019-05a,6.302,12.435,18.497,23.807,-58.733
ETH-4,128,2019-05a,-5.539,-5.039,-10.98,-10.765,-83.322
CA50,129,2019-05a,4.686,-3.174,1.377,-7.055,-55.888
CA50,130,2019-05a,4.569,-3.206,1.257,-6.503,-43.341
CA50,131,2019-05a,4.639,-3.206,1.318,-6.833,-45.704
ETH-1,132,2019-05a,6.559,11.863,17.95,23.251,6.61
ETH-2,133,2019-05a,-5.432,-4.84,-10.891,-10.099,-49.246
ETH-3,134,2019-05a,6.278,12.345,18.439,24.229,-32.457
ETH-4,135,2019-05a,-5.51,-4.966,-10.928,-10.434,-56.831
CA5_05,136,2019-05a,3.803,6.125,9.763,11.953,-0.471
CA5_05,137,2019-05a,3.709,6.092,9.631,12.425,80.2
CA5_05,138,2019-05a,3.687,5.984,9.462,11.576,0.663
CA5_05,139,2019-05a,4.13,6.358,10.33,12.728,60.443
CA5_05,140,2019-05a,3.75,6.134,9.707,11.67,-14.088
ETH-1,141,2019-05a,6.572,11.927,18.049,23.732,72.272
ETH-2,142,2019-05a,-5.431,-4.891,-10.936,-10.383,-56.327
ETH-3,143,2019-05a,6.262,12.378,18.478,24.614,49.503
ETH-4,144,2019-05a,-5.524,-5.025,-11.012,-10.487,-52.831
ETH-1,145,2019-05a,6.542,11.91,17.964,23.717,22.401
ETH-2,146,2019-05a,-5.488,-4.9,-11.054,-11.302,-164.456
ETH-3,147,2019-05a,6.277,12.379,18.423,24.409,29.123
ETH-4,148,2019-05a,-5.54,-5.003,-11.026,-10.964,-86.972
ETH-1,149,2019-05a,6.534,11.909,17.97,23.083,-26.424
ETH-1,150,2019-05a,6.569,11.883,17.992,23.439,-81.627
ETH-2,151,2019-05a,-5.424,-4.826,-10.884,-10.388,-97.747
ETH-3,152,2019-05a,6.292,12.378,18.534,24.355,-44.592
ETH-4,153,2019-05a,-5.491,-4.934,-10.876,-10.352,-57.277
CA50,154,2019-05a,4.929,-3.018,1.731,-6.304,-34.052
CA50,155,2019-05a,4.689,-3.192,1.352,-7.045,-66.94
CA50,156,2019-05a,4.883,-3.072,1.627,-7.581,-157.748
CA50,157,2019-05a,4.804,-3.138,1.498,-7.302,-104.211
ETH-1,158,2019-05a,6.548,11.887,17.901,23.004,-16.865
ETH-2,159,2019-05a,-5.436,-4.889,-10.944,-10.624,-93.944
ETH-3,160,2019-05a,6.32,12.458,18.595,24.649,30.46
ETH-4,161,2019-05a,-5.539,-5.026,-11.038,-10.948,-121.138
CA25,162,2019-05a,3.232,1.876,4.949,3.78,30.52
CA25,163,2019-05a,3.18,1.807,4.803,3.196,-9.893
CA25,164,2019-05a,3.176,1.85,4.863,3.292,4.553
ETH-1,165,2019-05a,6.574,11.895,18.021,23.495,19.506
ETH-2,166,2019-05a,-5.437,-4.863,-10.926,-10.245,-70.228
ETH-3,167,2019-05a,6.261,12.351,18.446,23.882,-42.863
ETH-4,168,2019-05a,-5.502,-4.96,-10.886,-10.289,-40.426
CA50,169,2019-05a,5.036,-2.988,1.933,-6.471,-25.757
CA50,170,2019-05a,5.077,-3.008,1.986,-6.239,-43.851
CA50,171,2019-05a,4.557,-3.188,1.27,-6.529,7.515
CA50,172,2019-05a,5.243,-2.91,2.225,-5.943,12.445
ETH-1,173,2019-05a,6.549,11.852,17.911,23.126,-6.759
ETH-2,174,2019-05a,-5.427,-4.885,-10.957,-10.313,-54.499
ETH-3,175,2019-05a,6.278,12.388,18.484,24.209,-12.923
ETH-4,176,2019-05a,-5.502,-4.974,-10.925,-10.709,-45.72
CA5_07,177,2019-05a,5.771,5.873,11.525,11.012,-30.617
CA5_07,178,2019-05a,5.594,5.621,11.129,10.685,-18.269
CA5_07,179,2019-05a,5.368,5.583,10.813,10.756,-41.164
CA5_07,180,2019-05a,5.602,5.626,11.117,10.901,-21.721
ETH-1,181,2019-05a,6.564,11.842,17.916,23.495,25.114
ETH-2,182,2019-05a,-5.424,-4.842,-10.891,-10.042,-40.583
ETH-3,183,2019-05a,6.258,12.382,18.446,24.691,37.338
ETH-4,184,2019-05a,-5.526,-5.002,-10.98,-10.625,-50.477
CA50,185,2019-05a,4.962,-3.033,1.863,-6.077,2.82
CA50,186,2019-05a,5.134,-2.968,2.063,-6.226,-15.047
CA50,187,2019-05a,4.866,-3.094,1.666,-6.316,29.014
CA25,188,2019-05a,3.139,1.763,4.666,3.057,-54.226
CA50,189,2019-05a,5.174,-2.948,2.126,-6.115,12.711
CA50,190,2019-05a,4.99,-3.07,1.784,-6.567,-45.521
ETH-1,191,2019-05a,6.568,11.9,18.043,23.356,3.156
ETH-1,192,2019-05a,6.557,11.883,18.012,23.18,-53.144
ETH-2,193,2019-05a,-5.433,-4.852,-10.922,-10.462,-117.984
ETH-3,194,2019-05a,6.275,12.377,18.479,24.479,-21.08
ETH-4,195,2019-05a,-5.514,-4.986,-10.936,-10.412,-71.889
CA5_07,196,2019-05a,6.174,5.859,11.939,11.55,-12.959
CA5_07,197,2019-05a,5.599,5.602,11.129,10.635,-45.153
CA5_07,198,2019-05a,5.653,5.542,11.124,11.222,19.89
CA5_07,199,2019-05a,5.672,5.864,11.476,12.157,36.392
CA5_07,200,2019-05a,5.724,5.779,11.397,11.313,3.85
ETH-1,201,2019-05a,6.587,11.933,18.037,23.62,11.171
ETH-2,202,2019-05a,-5.426,-4.899,-10.93,-10.637,-77.588
ETH-4,203,2019-05a,-5.492,-4.988,-10.927,-10.429,-19.975
CA25,204,2019-05a,3.19,1.862,4.814,2.748,-79.121
CA25,205,2019-05a,3.305,1.945,5.081,3.893,30.942
CA25,206,2019-05a,3.149,1.855,4.845,3.188,-33.664
CA25,207,2019-05a,3.264,1.874,4.961,4.107,60.074
CA25,208,2019-05a,3.188,1.829,4.824,3.524,-0.56
ETH-1,209,2019-05a,6.587,11.902,18.029,23.656,40.694
ETH-2,210,2019-05a,-5.431,-4.859,-10.881,-10.218,-56.957
ETH-3,211,2019-05a,6.275,12.359,18.384,24.278,-18.651
ETH-4,212,2019-05a,-5.516,-4.976,-10.945,-10.5,-59.11
CA5_07,213,2019-05a,5.609,5.7,11.257,11.749,28.524
CA5_07,214,2019-05a,5.44,5.482,10.828,10.69,-90.293
CA5_07,215,2019-05a,5.62,5.613,11.156,11.306,23.799
CA5_07,216,2019-05a,5.745,5.618,11.268,10.698,-64.397
CA5_07,217,2019-05a,5.282,5.335,10.496,10.075,-62.125
ETH-1,218,2019-05a,6.568,11.9,17.949,23.071,-56.071
ETH-2,219,2019-05a,-5.412,-4.849,-10.874,-10.068,-79.975
ETH-3,220,2019-05a,6.269,12.338,18.385,24.146,-40.108
ETH-4,221,2019-05a,-5.472,-4.924,-10.858,-10.325,-70.029
CA25,222,2019-05a,3.122,1.733,4.594,2.436,-158.53
CA25,223,2019-05a,3.263,1.884,4.949,3.311,-27.309
CA25,224,2019-05a,3.268,1.914,5.041,3.928,62.882
CA25,225,2019-05a,3.203,1.793,4.793,3.185,-57.624
CA25,226,2019-05a,3.208,1.841,4.87,3.156,-50.519
ETH-1,227,2019-05a,6.581,11.895,18.013,23.528,15.459
ETH-2,228,2019-05a,-5.414,-4.827,-10.809,-9.99,-6.858
ETH-3,229,2019-05a,6.263,12.348,18.411,24.383,-12.422
ETH-4,230,2019-05a,-5.511,-4.964,-10.933,-10.433,-105.204
CA5_07,231,2019-05a,5.663,5.578,11.122,10.919,51.056
ETH-1,232,2019-05a,6.648,11.999,18.185,26.622,327.994
CA90,233,2019-05a,3.245,-8.168,-5.133,-16.541,-53.939
CA90,234,2019-05a,3.268,-8.048,-5.077,-18.1,-109.284
CA90,235,2019-05a,3.26,-8.01,-4.891,-15.791,19.398
CA90,236,2019-05a,3.244,-8.019,-4.994,-16.357,-92.016
ETH-1,237,2019-05a,6.567,11.917,17.99,23.332,-48.997
ETH-2,238,2019-05a,-5.391,-4.84,-10.913,-10.252,-74.153
ETH-3,239,2019-05a,6.228,12.347,18.384,24.138,-64.917
ETH-4,240,2019-05a,-5.506,-4.964,-10.978,-11.021,-140.976
ETH-1,241,2019-05a,6.546,11.893,17.938,23.43,-17.052
ETH-2,242,2019-05a,-5.416,-4.847,-10.888,-10.211,-45.177
ETH-4,243,2019-05a,-5.506,-4.996,-10.944,-9.993,4.525
CA5_07,244,2019-05a,5.496,5.463,10.851,11.141,95.058
CA5_07,245,2019-05a,5.981,5.836,11.715,11.414,13.465
CA5_07,246,2019-05a,5.417,5.562,10.842,10.591,-54.492
CA5_07,247,2019-05a,5.829,5.686,11.425,11.08,5.762
ETH-1,248,2019-05a,6.564,11.892,17.956,23.493,-5.88
ETH-2,249,2019-05a,-5.422,-4.818,-10.898,-10.024,-60.541
ETH-3,250,2019-05a,6.272,12.321,18.449,24.884,107.291
ETH-4,251,2019-05a,-5.519,-4.978,-10.982,-10.49,-104.708
CA25,252,2019-05a,3.167,1.769,4.764,3.063,-45.392
CA25,253,2019-05a,3.17,1.843,4.8,3.449,-16.997
CA25,254,2019-05a,3.2,1.887,4.852,3.563,55.488
CA25,255,2019-05a,3.157,1.807,4.752,3.066,-88.016
CA25,256,2019-05a,3.204,1.867,4.879,3.721,30.166
ETH-1,257,2019-05a,6.568,11.911,18.017,23.417,30.171
ETH-2,258,2019-05a,-5.411,-4.831,-10.878,-9.891,-15.29
ETH-3,259,2019-05a,6.293,12.451,18.553,24.739,61.483
ETH-4,260,2019-05a,-5.521,-4.991,-10.966,-10.585,-73.592
ETH-1,261,2019-05a,6.538,11.898,17.891,22.878,-75.601
ETH-2,262,2019-05a,-5.412,-4.783,-10.777,-9.521,5.796
ETH-3,263,2019-05a,6.279,12.328,18.401,24.794,81.265
ETH-4,264,2019-05a,-5.5,-4.93,-10.866,-10.225,-55.717
CA25,265,2019-05a,3.273,1.92,5.005,3.947,98.569
CA25,266,2019-05a,3.214,1.902,4.902,3.129,-84.435
CA25,267,2019-05a,3.144,1.741,4.656,2.973,-79.094
CA25,268,2019-05a,3.187,1.901,4.946,3.89,98.318
CA25,269,2019-05a,3.197,1.811,4.791,3.043,-58.644
ETH-1,270,2019-05a,6.569,11.912,17.999,23.675,49.11
ETH-2,271,2019-05b,-5.413,-4.814,-10.84,-10.069,-82.651
ETH-3,272,2019-05b,6.265,12.323,18.431,24.526,-13.653
ETH-4,273,2019-05b,-5.355,-4.794,-10.555,-9.735,-87.868
CA90,274,2019-05b,3.255,-7.952,-4.934,-16.826,-148.32
CA90,275,2019-05b,3.25,-8.061,-4.983,-16.597,-71.044
CA90,276,2019-05b,3.24,-8.12,-5.037,-16.762,-30.175
CA90,277,2019-05b,3.249,-8.096,-4.978,-16.364,-27.247
CA90,278,2019-05b,3.279,-8.071,-4.895,-15.891,33.823
ETH-1,279,2019-05b,6.522,11.839,17.87,23.218,-26.167
ETH-2,280,2019-05b,-5.395,-4.831,-10.814,-9.774,-32.009
ETH-3,281,2019-05b,6.286,12.389,18.474,24.315,-19.49
ETH-4,282,2019-05b,-5.515,-4.993,-10.959,-10.576,-79.119
ETH-1,283,2019-05b,6.538,11.847,17.881,23.114,-53.623
ETH-2,284,2019-05b,-5.418,-4.84,-10.879,-10.007,-46.552
ETH-3,285,2019-05b,6.268,12.372,18.442,24.112,-38.647
CA90,286,2019-05b,3.239,-8.13,-5.046,-16.705,-9.641
CA90,287,2019-05b,3.264,-8.087,-4.967,-16.227,-16.904
CA90,288,2019-05b,3.24,-8.084,-4.965,-16.082,-10.674
CA90,289,2019-05b,3.255,-8.131,-5.008,-16.77,-42.217
ETH-1,290,2019-05b,6.553,11.876,17.91,23.156,-49.117
ETH-2,291,2019-05b,-5.406,-4.825,-10.802,-9.639,18.189
ETH-3,292,2019-05b,6.252,12.344,18.406,24.268,-49.589
ETH-1,293,2019-05b,6.596,11.99,18.107,25.424,155.941
ETH-2,294,2019-05b,-5.399,-4.779,-10.821,-9.163,83.706
ETH-3,295,2019-05b,6.307,12.441,18.607,25.62,109.393
ETH-4,296,2019-05b,-5.498,-4.891,-10.81,-9.697,30.694
CA90,297,2019-05b,3.254,-8.067,-5.007,-16.339,-3.597
CA90,298,2019-05b,3.251,-8.053,-4.983,-16.496,-4.833
CA90,299,2019-05b,3.267,-7.926,-4.9,-16.435,-25.291
CA90,300,2019-05b,3.271,-7.995,-4.887,-15.481,33.705
ETH-1,301,2019-05b,6.572,11.899,17.93,23.222,30.62
ETH-1,302,2019-05b,6.552,11.826,17.897,23.032,-47.912
ETH-3,303,2019-05b,6.261,12.31,18.376,24.155,-47.74
ETH-4,304,2019-05b,-5.501,-4.954,-10.879,-10.368,-63.736
CA90,305,2019-05b,3.254,-8.058,-4.909,-16.39,-59.443
CA90,306,2019-05b,3.252,-8.084,-4.975,-16.616,-55.652
CA90,307,2019-05b,3.247,-8.077,-4.928,-16.537,-36.986
CA90,308,2019-05b,3.255,-8.012,-4.889,-16.121,-47.851
CA90,309,2019-05b,3.274,-8.003,-4.8,-15.893,-2.993
ETH-1,310,2019-05b,6.581,11.881,18.021,23.85,38.687
ETH-2,311,2019-05b,-5.428,-4.869,-10.917,-10.016,-61.334
ETH-3,312,2019-05b,6.264,12.357,18.385,23.696,-63.412
ETH-1,313,2019-05b,6.525,11.838,17.827,22.794,-40.306
ETH-2,314,2019-05b,-5.406,-4.801,-10.824,-10.048,-19.716
ETH-3,315,2019-05b,6.274,12.346,18.461,24.396,12.004
ETH-1,316,2019-05b,6.524,11.875,17.877,22.902,-62.607
ETH-2,317,2019-05b,-5.43,-4.888,-10.894,-10.054,-24.592
ETH-3,318,2019-05b,6.28,12.359,18.482,24.513,-11.823
ETH-4,319,2019-05b,-5.52,-5.024,-10.984,-11.052,-96.561
ETH-1,320,2019-05b,6.538,11.855,17.93,23.887,53.754
ETH-2,321,2019-05b,-5.447,-4.883,-10.953,-10.499,-73.87
ETH-3,322,2019-05b,6.284,12.363,18.442,23.994,16.309
ETH-4,323,2019-05b,-5.532,-4.995,-11.012,-10.862,-105.749
ETH-1,324,2019-05b,6.542,11.899,17.939,23.281,-23.032
ETH-1,422,2019-06a,6.561,11.891,17.988,23.293,-82.458
ETH-2,423,2019-06a,-5.402,-4.785,-10.793,-9.923,-78.26
ETH-3,424,2019-06a,6.285,12.371,18.438,23.944,-78.962
ETH-4,425,2019-06a,-5.503,-4.949,-10.883,-10.414,-80.197
ETH-1,426,2019-06a,6.566,11.925,17.994,22.989,-55.364
ETH-2,427,2019-06a,-5.428,-4.89,-11.003,-10.675,-106.249
ETH-3,428,2019-06a,6.277,12.362,18.453,24.002,-49.406
ETH-4,429,2019-06a,-5.488,-4.947,-10.906,-10.324,-52.757
ETH-1,430,2019-06a,6.541,11.807,17.836,22.754,-57.525
ETH-2,431,2019-06a,-5.4,-4.814,-10.825,-10.063,-32.51
ETH-3,432,2019-06a,6.268,12.309,18.396,24.352,-6.592
ETH-4,433,2019-06a,-5.518,-4.983,-10.964,-10.51,-65.791
ETH-1,434,2019-06a,6.556,11.896,17.909,22.97,-78.27
ETH-2,435,2019-06a,-5.39,-4.825,-10.829,-9.993,-59.003
ETH-3,436,2019-06a,6.299,12.405,18.582,24.761,28.683
ETH-4,437,2019-06a,-5.493,-4.961,-10.925,-10.418,-107.733
ETH-1,438,2019-06a,6.584,11.889,17.975,23.324,-12.605
ETH-3,439,2019-06a,6.281,12.35,18.393,23.568,-76.495
ETH-4,440,2019-06a,-5.524,-4.968,-10.997,-11.132,-134
ETH-1,441,2019-06a,6.572,11.919,17.992,23.518,-17.245
ETH-1,442,2019-06a,6.545,11.833,17.883,22.812,-137.924
ETH-2,443,2019-06a,-5.434,-4.853,-10.912,-10.387,-127.066
ETH-3,444,2019-06a,6.278,12.335,18.4,23.894,-101.177
ETH-4,445,2019-06a,-5.501,-4.938,-10.941,-10.599,-131.623
CA120,446,2019-06a,1.671,-13.887,-12.386,-28.103,-102.753
CA120,447,2019-06a,1.678,-13.858,-12.341,-27.864,-98.929
CA120,448,2019-06a,1.67,-13.893,-12.408,-28.241,-132.237
CA120,449,2019-06a,1.652,-13.961,-12.477,-28.583,-153.313
ETH-1,450,2019-06a,6.574,11.903,17.924,22.809,-62.104
ETH-2,451,2019-06a,-5.398,-4.821,-10.889,-10.37,-92.349
ETH-3,452,2019-06a,6.302,12.47,18.57,24.469,-37.972
ETH-1,453,2019-06a,6.549,11.838,17.862,22.627,-80.873
ETH-2,454,2019-06a,-5.417,-4.84,-10.87,-10.202,-72.52
ETH-3,455,2019-06a,6.274,12.355,18.415,23.732,-89.094
ETH-4,456,2019-06a,-5.485,-4.916,-10.819,-10.128,-55.223
ETH-1,457,2019-06a,6.578,11.902,18.014,23.332,-38.394
ETH-2,458,2019-06a,-5.419,-4.911,-10.967,-10.436,-142.96
ETH-3,459,2019-06a,6.272,12.342,18.444,23.968,-110.616
ETH-4,460,2019-06a,-5.513,-5.009,-10.993,-10.934,-161.414
ETH-1,461,2019-06a,6.562,11.835,17.862,23.134,-54.908
ETH-2,462,2019-06a,-5.426,-4.844,-10.936,-10.271,-127.564
ETH-3,463,2019-06a,6.292,12.369,18.44,24.088,-43.822
ETH-4,464,2019-06a,-5.517,-5.012,-10.955,-10.781,-145.502
ETH-1,465,2019-06a,6.566,11.882,17.969,23.397,-37.437
ETH-1,466,2019-06a,6.554,11.818,17.854,22.655,-271.246
ETH-2,467,2019-06a,-5.432,-4.862,-10.964,-10.616,-178.022
