Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
ETH-1,216,2.02,37.59,0.2052,,,0.0363,
ETH-2,184,-10.17,20.47,0.2085,,,0.0372,
ETH-3,199,1.71,38.08,0.6132,,,0.0365,
ETH-4,184,-10.25,20.34,0.4511,,,0.0363,
CA120,24,-2.26,11.15,0.4063,0.0100,± 0.0195,0.0356,0.695
CA170,25,-4.07,7.49,0.3457,0.0105,± 0.0206,0.0330,0.858
CA200,24,-5.29,5.20,0.3213,0.0106,± 0.0207,0.0399,0.538
CA25,24,-1.20,27.30,0.6014,0.0109,± 0.0214,0.0424,0.231
CA250_06,30,-7.26,3.03,0.2830,0.0093,± 0.0182,0.0400,0.475
CA250_09,32,-6.67,4.43,0.3012,0.0099,± 0.0195,0.0519,0.001
CA50,21,0.77,22.26,0.5458,0.0109,± 0.0213,0.0399,0.830
CA5_05,21,-0.66,31.67,0.6676,0.0122,± 0.0240,0.0248,0.099
CA5_07,19,1.27,31.19,0.6751,0.0127,± 0.0249,0.0310,0.509
CA70,24,-0.86,18.95,0.4822,0.0088,± 0.0174,0.0430,0.124
CA726,100,2.06,37.56,0.1954,0.0076,± 0.0149,0.0454,0.002
CA90,22,-0.77,17.14,0.4434,0.0111,± 0.0218,0.0648,0.000