table_no,title_tr,title_en
1,Bilanço,Balance Sheet
2,Kar Zarar,Profit and Loss
3,Krediler,Loans
4,Tüketici Kredileri,Consumer Loans
5,Sektörel Kredi Dağılımı,Sectoral Loan Distribution
6,KOBİ Kredileri,SME Loans
7,Sendikasyon Seküritizasyon Kredileri,Syndication Securitization Loans
8,Menkul Kıymetler,Securities
9,Mevduat Türler İtibarıyla,Deposits by Type
10,Mevduat Vade İtibarıyla,Deposits by Maturity
11,Likidite Durumu,Liquidity Position
12,Sermaye Yeterliliği,Capital Adequacy
13,Yabancı Para Pozisyonu,Foreign Currency Position
14,Bilanço Dışı İşlemler,Off-Balance Sheet Transactions
15,Rasyolar,Ratios
16,Diğer Bilgiler,Other Information
17,Yurt Dışı Şube Rasyoları,Foreign Branch Ratios